id,Город дистрибьютора,Торг_точка_грязная,Торг_точка_грязная_адрес,outlet_clean_id
13954,Ростов-на-Дону,Лаптева С.М. ИП,"346400, Ростовская обл, Новочеркасск г, Мелиховская ул, дом № 29, кв.13",3423
13955,Ростов-на-Дону,"Лаптева С.М. ИП пр-т Парковый, 30","346400, Ростовская обл, Новочеркасск г, Донской п., Парковый пр-кт, дом № 30",0
13956,Ростов-на-Дону,Лапушаускас А.А. ИП г.Гуково ул.Переездная 17а,"347880, Ростовская обл, Гуково г, Зеленый, дом № 9",1723
13957,Ростов-на-Дону,Лапушаускене М.Н. ИП,-,3424
13958,Ростов-на-Дону,Лапушаускене М.Н. ИП,"347880, Ростовская обл, Гуково г, Переездная ул, дом № 17-а",3424
13959,Ростов-на-Дону,Ларина В.М. ИП,-,3425
13960,Ростов-на-Дону,Ларина В.М. ИП,"346550, Ростовская обл, 8-928-603-22-36; 8-863-519-90-10, Усть-Донецкий рп, Строителей ул, дом № 51",3425
13961,Ростов-на-Дону,Ларина Ю.В.ИП,"Ростовская обл, Миллеровский р-н, М4 Дон 845 км",0
13962,Ростов-на-Дону,Ларьков Л.Н. ИП,"346311, Ростовская обл, (255)4-45-51-Дом, Зверево г, Обухова ул, дом № 7",0
13963,Ростов-на-Дону,Ларьков Л.Н. ИП,-,0
13964,Ростов-на-Дону,Ларьков Л.Н. ИП,"346311, Ростовская обл, Зверево г, Обухова ул, дом № 33, кв.39",0
13965,Ростов-на-Дону,Ластоверов Р.В. ИП,-,3426
